Category,Tool,Description
"Geomorphometric Analysis
",max_difference_from_mean,Calculates the maximum difference from mean elevation over a range of spatial scales.
"Geomorphometric Analysis
",max_downslope_elev_change,Calculates the maximum downslope change in elevation between a grid cell and its eight downslope neighbors.
"Geomorphometric Analysis
",max_elev_dev_signature,Calculates the maximum elevation deviation over a range of spatial scales and for a set of points.
"Geomorphometric Analysis
",max_elevation_deviation,Calculates the maximum elevation deviation over a range of spatial scales.
"Geomorphometric Analysis
",max_upslope_elev_change,Calculates the maximum upslope change in elevation between a grid cell and its eight downslope neighbors.
"Geomorphometric Analysis
",maximal_curvature,Calculates a mean curvature raster from an input DEM.
"Geomorphometric Analysis
",mean_curvature,Calculates a mean curvature raster from an input DEM.
"Geomorphometric Analysis
",min_downslope_elev_change,Calculates the minimum downslope change in elevation between a grid cell and its eight downslope neighbors.
"Geomorphometric Analysis
",minimal_curvature,Calculates a mean curvature raster from an input DEM.
"Geomorphometric Analysis
",multidirectional_hillshade,Calculates a multi-direction hillshade raster from an input DEM.
"Geomorphometric Analysis
",multiscale_elevation_percentile,Calculates surface roughness over a range of spatial scales.
"Geomorphometric Analysis
",multiscale_roughness,Calculates surface roughness over a range of spatial scales.
"Geomorphometric Analysis
",multiscale_roughness_signature,Calculates the surface roughness for points over a range of spatial scales.
"Geomorphometric Analysis
",multiscale_std_dev_normals,Calculates surface roughness over a range of spatial scales.
"Geomorphometric Analysis
",multiscale_std_dev_normals_signature,Calculates the surface roughness for points over a range of spatial scales.
"Geomorphometric Analysis
",multiscale_topographic_position_image,Creates a multiscale topographic position image from three DEVmax rasters of differing spatial scale ranges.
"Geomorphometric Analysis
",num_downslope_neighbours,Calculates the number of downslope neighbours to each grid cell in a DEM.
"Geomorphometric Analysis
",num_upslope_neighbours,Calculates the number of upslope neighbours to each grid cell in a DEM.
"Geomorphometric Analysis
",pennock_landform_class,"Classifies hillslope zones based on slope, profile curvature, and plan curvature."
"Geomorphometric Analysis
",percent_elev_range,Calculates percent of elevation range from a DEM.
"Geomorphometric Analysis
",plan_curvature,Calculates a plan (contour) curvature raster from an input DEM.
"Geomorphometric Analysis
",profile,Plots profiles from digital surface models.
"Geomorphometric Analysis
",profile_curvature,Calculates a profile curvature raster from an input DEM.
"Geomorphometric Analysis
",relative_aspect,Calculates relative aspect (relative to a user-specified direction) from an input DEM.
"Geomorphometric Analysis
",relative_topographic_position,Calculates the relative topographic position index from a DEM.
"Geomorphometric Analysis
",remove_off_terrain_objects,Removes off-terrain objects from a raster digital elevation model (DEM).
"Geomorphometric Analysis
",ruggedness_index,Calculates the Riley et al.'s (1999) terrain ruggedness index from an input DEM.
"Geomorphometric Analysis
",sediment_transport_index,Calculates the sediment transport index.
"Geomorphometric Analysis
",slope,Calculates a slope raster from an input DEM.
"Geomorphometric Analysis
",slope_vs_elevation_plot,Creates a slope vs. elevation plot for one or more DEMs.
"Geomorphometric Analysis
",spherical_std_dev_of_normals,Calculates the spherical standard deviation of surface normals for a DEM.
"Geomorphometric Analysis
",standard_deviation_of_slope,Calculates the standard deviation of slope from an input DEM.
"Geomorphometric Analysis
",stream_power_index,Calculates the relative stream power index.
"Geomorphometric Analysis
",surface_area_ratio,Calculates a the surface area ratio of each grid cell in an input DEM.
"Geomorphometric Analysis
",tangential_curvature,Calculates a tangential curvature raster from an input DEM.
"Geomorphometric Analysis
",time_in_daylight,Calculates the proportion of time a location is not within an area of shadow.
"Geomorphometric Analysis
",topographic_hachures,Derives topographic hachures from a raster surface.
"Geomorphometric Analysis
",total_curvature,Calculates a total curvature raster from an input DEM.
"Geomorphometric Analysis
",viewshed,Identifies the viewshed for a point or set of points.
"Geomorphometric Analysis
",visibility_index,Estimates the relative visibility of sites in a DEM.
"Geomorphometric Analysis
",wetness_index,"Calculates the topographic wetness index, Ln(A / tan(slope))."
"Hydrological Analysis
",average_flowpath_slope,Measures the average slope gradient from each grid cell to all upslope divide cells.
"Hydrological Analysis
",average_upslope_flowpath_length,Measures the average length of all upslope flowpaths draining each grid cell.
"Hydrological Analysis
",basins,Identifies drainage basins that drain to the DEM edge.
"Hydrological Analysis
",breach_depressions,Breaches all of the depressions in a DEM using Lindsay's (2016) algorithm. This should be preferred over depression filling in most cases.
"Hydrological Analysis
",breach_depressions_least_cost,Breaches the depressions in a DEM using a least-cost pathway method.
"Hydrological Analysis
",breach_single_cell_pits,Removes single-cell pits from an input DEM by breaching.
"Hydrological Analysis
",burn_streams_at_roads,Burns-in streams at the sites of road embankments.
"Hydrological Analysis
",d8_flow_accumulation,Calculates a D8 flow accumulation raster from an input DEM or flow pointer.
"Hydrological Analysis
",d8_mass_flux,Performs a D8 mass flux calculation.
"Hydrological Analysis
",d8_pointer,Calculates a D8 flow pointer raster from an input DEM.
"Hydrological Analysis
",d_inf_flow_accumulation,Calculates a D-infinity flow accumulation raster from an input DEM.
"Hydrological Analysis
",d_inf_mass_flux,Performs a D-infinity mass flux calculation.
"Hydrological Analysis
",d_inf_pointer,Calculates a D-infinity flow pointer (flow direction) raster from an input DEM.
"Hydrological Analysis
",depth_in_sink,Measures the depth of sinks (depressions) in a DEM.
"Hydrological Analysis
",downslope_distance_to_stream,Measures distance to the nearest downslope stream cell.
"Hydrological Analysis
",downslope_flowpath_length,Calculates the downslope flowpath length from each cell to basin outlet.
"Hydrological Analysis
",edge_contamination,Identifies grid cells within an input DEM that may be impacted by edge contamination for hydrological applications.
"Hydrological Analysis
",elevation_above_stream,Calculates the elevation of cells above the nearest downslope stream cell.
"Hydrological Analysis
",elevation_above_stream_euclidean,Calculates the elevation of cells above the nearest (Euclidean distance) stream cell.
"Hydrological Analysis
",fd8_flow_accumulation,Calculates an FD8 flow accumulation raster from an input DEM.
"Hydrological Analysis
",fd8_pointer,Calculates an FD8 flow pointer raster from an input DEM.
"Hydrological Analysis
",fill_burn,"Burns streams into a DEM using the FillBurn (Saunders, 1999) method."
"Hydrological Analysis
",fill_depressions,Fills all of the depressions in a DEM. Depression breaching should be preferred in most cases.
"Hydrological Analysis
",fill_depressions_planchon_and_darboux,Fills all of the depressions in a DEM using the Planchon and Darboux (2002) method.
"Hydrological Analysis
",fill_depressions_wang_and_liu,Fills all of the depressions in a DEM using the Wang and Liu (2006) method. Depression breaching should be preferred in most cases.
"Hydrological Analysis
",fill_single_cell_pits,Raises pit cells to the elevation of their lowest neighbour.
"Hydrological Analysis
",find_no_flow_cells,Finds grid cells with no downslope neighbours.
"Hydrological Analysis
",find_parallel_flow,Finds areas of parallel flow in D8 flow direction rasters.
"Hydrological Analysis
",flatten_lakes,Flattens lake polygons in a raster DEM.
"Hydrological Analysis
",flood_order,"Assigns each DEM grid cell its order in the sequence of inundations that are encountered during a search starting from the edges, moving inward at increasing elevations."
"Hydrological Analysis
",flow_accumulation_full_workflow,"Resolves all of the depressions in a DEM, outputting a breached DEM, an aspect-aligned non-divergent flow pointer, and a flow accumulation raster."
"Hydrological Analysis
",flow_length_diff,"Calculates the local maximum absolute difference in downslope flowpath length, useful in mapping drainage divides and ridges."
"Hydrological Analysis
",hillslopes,Identifies the individual hillslopes draining to each link in a stream network.
"Hydrological Analysis
",impoundment_size_index,Calculates the impoundment size resulting from damming a DEM.
"Hydrological Analysis
",insert_dams,Calculates the impoundment size resulting from damming a DEM.
"Hydrological Analysis
",isobasins,Divides a landscape into nearly equal sized drainage basins (i.e. watersheds).
"Hydrological Analysis
",jenson_snap_pour_points,Moves outlet points used to specify points of interest in a watershedding operation to the nearest stream cell.
"Hydrological Analysis
",longest_flowpath,Delineates the longest flowpaths for a group of subbasins or watersheds.
"Hydrological Analysis
",max_upslope_flowpath_length,Measures the maximum length of all upslope flowpaths draining each grid cell.
"Hydrological Analysis
",max_upslope_value,Calculates the maximum upslope value from an input values raster along flowpaths.
"Hydrological Analysis
",md_inf_flow_accumulation,Calculates an FD8 flow accumulation raster from an input DEM.
"Hydrological Analysis
",num_inflowing_neighbours,Computes the number of inflowing neighbours to each cell in an input DEM based on the D8 algorithm.
"Hydrological Analysis
",qin_flow_accumulation,Calculates Qin et al. (2007) flow accumulation.
"Hydrological Analysis
",quinn_flow_accumulation,Calculates Quinn et al. (1995) flow accumulation.
"Hydrological Analysis
",raise_walls,"Raises walls in a DEM along a line or around a polygon, e.g. a watershed."
"Hydrological Analysis
",rho8_flow_accumulation,Calculates Fairfield and Leymarie (1991) flow accumulation.
"Hydrological Analysis
",rho8_pointer,Calculates a stochastic Rho8 flow pointer raster from an input DEM.
"Hydrological Analysis
",sink,"Identifies the depressions in a DEM, giving each feature a unique identifier."
"Hydrological Analysis
",snap_pour_points,Moves outlet points used to specify points of interest in a watershedding operation to the cell with the highest flow accumulation in its neighbourhood.
"Hydrological Analysis
",stochastic_depression_analysis,Performs a stochastic analysis of depressions within a DEM.
"Hydrological Analysis
",strahler_order_basins,Identifies Strahler-order basins from an input stream network.
"Hydrological Analysis
",subbasins,"Identifies the catchments, or sub-basin, draining to each link in a stream network."
"Hydrological Analysis
",trace_downslope_flowpaths,Traces downslope flowpaths from one or more target sites (i.e. seed points).
"Hydrological Analysis
",unnest_basins,Extract whole watersheds for a set of outlet points.
"Hydrological Analysis
",upslope_depression_storage,Estimates the average upslope depression storage depth.
"Hydrological Analysis
",watershed,"Identifies the watershed, or drainage basin, draining to a set of target cells."
"Image Processing Tools
",change_vector_analysis,Performs a change vector analysis on a two-date multi-spectral dataset.
"Image Processing Tools
",closing,A closing is a mathematical morphology operation involving an erosion (min filter) of a dilation (max filter) set.
"Image Processing Tools
",create_colour_composite,Creates a colour-composite image from three bands of multispectral imagery.
"Image Processing Tools
",flip_image,Reflects an image in the vertical or horizontal axis.
"Image Processing Tools
",ihs_to_rgb,"Converts intensity, hue, and saturation (IHS) images into red, green, and blue (RGB) images."
"Image Processing Tools
",image_stack_profile,Plots an image stack profile (i.e. signature) for a set of points and multispectral images.
"Image Processing Tools
",integral_image,Transforms an input image (summed area table) into its integral image equivalent.
"Image Processing Tools
",line_thinning,Performs line thinning a on Boolean raster image; intended to be used with the RemoveSpurs tool.
"Image Processing Tools
",mosaic,Mosaics two or more images together.
"Image Processing Tools
",mosaic_with_feathering,Mosaics two images together using a feathering technique in overlapping areas to reduce edge-effects.
"Image Processing Tools
",normalized_difference_index,Calculate a normalized-difference index (NDI) from two bands of multispectral image data.
"Image Processing Tools
",opening,An opening is a mathematical morphology operation involving a dilation (max filter) of an erosion (min filter) set.
"Image Processing Tools
",otsu_thresholding,Applies Ostu's method for optimal binary thresholding of a continuous image.
"Image Processing Tools
",remove_spurs,Removes the spurs (pruning operation) from a Boolean line image; intended to be used on the output of the LineThinning tool.
"Image Processing Tools
",resample,Resamples one or more input images into a destination image.
"Image Processing Tools
",rgb_to_ihs,"Converts red, green, and blue (RGB) images into intensity, hue, and saturation (IHS) images."
"Image Processing Tools
",split_colour_composite,Splits an RGB colour composite image into separate multispectral images.
"Image Processing Tools
",thicken_raster_line,Thickens single-cell wide lines within a raster image.
"Image Processing Tools
",tophat_transform,Performs either a white or black top-hat transform on an input image.
"Image Processing Tools
",write_function_memory_insertion,Performs a write function memory insertion for single-band multi-date change detection.
"Image Processing Tools/Filters
",adaptive_filter,Performs an adaptive filter on an image.
"Image Processing Tools/Filters
",bilateral_filter,A bilateral filter is an edge-preserving smoothing filter introduced by Tomasi and Manduchi (1998).
"Image Processing Tools/Filters
",conservative_smoothing_filter,Performs a conservative-smoothing filter on an image.
"Image Processing Tools/Filters
",corner_detection,Identifies corner patterns in boolean images using hit-and-miss pattern matching.
"Image Processing Tools/Filters
",diff_of_gaussian_filter,Performs a Difference of Gaussian (DoG) filter on an image.
"Image Processing Tools/Filters
",diversity_filter,Assigns each cell in the output grid the number of different values in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",edge_preserving_mean_filter,Performs a simple edge-preserving mean filter on an input image.
"Image Processing Tools/Filters
",emboss_filter,"Performs an emboss filter on an image, similar to a hillshade operation."
"Image Processing Tools/Filters
",fast_almost_gaussian_filter,Performs a fast approximate Gaussian filter on an image.
"Image Processing Tools/Filters
",gaussian_filter,Performs a Gaussian filter on an image.
"Image Processing Tools/Filters
",high_pass_bilateral_filter,"Performs a high-pass bilateral filter, by differencing an input image by the bilateral filter by Tomasi and Manduchi (1998)."
"Image Processing Tools/Filters
",high_pass_filter,Performs a high-pass filter on an input image.
"Image Processing Tools/Filters
",high_pass_median_filter,Performs a high pass median filter on an input image.
"Image Processing Tools/Filters
",k_nearest_mean_filter,A k-nearest mean filter is a type of edge-preserving smoothing filter.
"Image Processing Tools/Filters
",laplacian_filter,Performs a Laplacian filter on an image.
"Image Processing Tools/Filters
",laplacian_of_gaussian_filter,Performs a Laplacian-of-Gaussian (LoG) filter on an image.
"Image Processing Tools/Filters
",lee_sigma_filter,Performs a Lee (Sigma) smoothing filter on an image.
"Image Processing Tools/Filters
",line_detection_filter,Performs a line-detection filter on an image.
"Image Processing Tools/Filters
",majority_filter,Assigns each cell in the output grid the most frequently occurring value (mode) in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",maximum_filter,Assigns each cell in the output grid the maximum value in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",mean_filter,Performs a mean filter (low-pass filter) on an input image.
"Image Processing Tools/Filters
",median_filter,Performs a median filter on an input image.
"Image Processing Tools/Filters
",minimum_filter,Assigns each cell in the output grid the minimum value in a moving window centred on each grid cell in the input raster.
"Image Processing Tools/Filters
",olympic_filter,Performs an olympic smoothing filter on an image.
"Image Processing Tools/Filters
",percentile_filter,Performs a percentile filter on an input image.
